t,pressure,temperature,density
0.0,101325.0,300.0,1.1768292682926829
1e-06,101325.0,300.0566965361179,1.1766069031734083
2e-06,101325.0,300.11340170860547,1.1763845882184127
3e-06,101325.0,300.1701155183019,1.1761623234151666
4e-06,101325.0,300.2268379660461,1.1759401087511459
4.9999999999999996e-06,101325.0,300.2835690526771,1.175717944213829
5.999999999999999e-06,101325.0,300.34030877903365,1.1754958297906988
6.999999999999999e-06,101325.0,300.39705714595453,1.1752737654692413
8e-06,101325.0,300.4538141542784,1.1750517512369465
9e-06,101325.0,300.5105798048438,1.1748297870813074
1e-05,101325.0,300.56735409848926,1.1746078729898213
1.1000000000000001e-05,101325.0,300.6241370360531,1.1743860089499885
1.2000000000000002e-05,101325.0,300.6809286183737,1.174164194949314
1.3000000000000003e-05,101325.0,300.73772884628914,1.1739424309753055
1.4000000000000003e-05,101325.0,300.7945377206376,1.1737207170154742
1.5000000000000004e-05,101325.0,300.8513552422571,1.173499053057336
1.6000000000000003e-05,101325.0,300.9081814119856,1.173277439088409
1.7000000000000003e-05,101325.0,300.9650162306609,1.1730558750962161
1.8000000000000004e-05,101325.0,301.0218596991208,1.1728343610682836
1.9000000000000004e-05,101325.0,301.0787118182029,1.172612896992141
2.0000000000000005e-05,101325.0,301.1355725887448,1.1723914828553217
2.1000000000000006e-05,101325.0,301.192442011584,1.1721701186453626
2.2000000000000006e-05,101325.0,301.2493200875578,1.1719488043498043
2.3000000000000007e-05,101325.0,301.30620681750355,1.1717275399561915
2.4000000000000007e-05,101325.0,301.36310220225846,1.1715063254520715
2.5000000000000008e-05,101325.0,301.4200062426596,1.1712851608249961
2.600000000000001e-05,101325.0,301.4769189395441,1.1710640460625201
2.700000000000001e-05,101325.0,301.53384029374877,1.1708429811522023
2.800000000000001e-05,101325.0,301.59077030611047,1.1706219660816055
2.900000000000001e-05,101325.0,301.647708977466,1.1704010008382948
3.000000000000001e-05,101325.0,301.7046563086519,1.1701800854098405
3.100000000000001e-05,101325.0,301.76161230050485,1.1699592197838156
3.2000000000000005e-05,101325.0,301.8185769538613,1.1697384039477965
3.3e-05,101325.0,301.87555026955755,1.169517637889364
3.4e-05,101325.0,301.93253224842994,1.169296921596102
3.5e-05,101325.0,301.98952289131466,1.1690762550555978
3.5999999999999994e-05,101325.0,302.0465221990478,1.1688556382554431
3.699999999999999e-05,101325.0,302.10353017246536,1.1686350711832325
3.799999999999999e-05,101325.0,302.16054681240325,1.1684145538265642
3.8999999999999986e-05,101325.0,302.21757211969737,1.1681940861730407
3.999999999999998e-05,101325.0,302.27460609518334,1.1679736682102673
4.099999999999998e-05,101325.0,302.33164873969685,1.167753299925853
4.199999999999998e-05,101325.0,302.38870005407347,1.167532981307411
4.2999999999999975e-05,101325.0,302.4457600391486,1.1673127123425577
4.399999999999997e-05,101325.0,302.5028286957576,1.1670924930189128
4.499999999999997e-05,101325.0,302.55990602473577,1.1668723233241003
4.5999999999999966e-05,101325.0,302.6169920269183,1.1666522032457471
4.699999999999996e-05,101325.0,302.67408670314023,1.166432132771484
4.799999999999996e-05,101325.0,302.73119005423655,1.1662121118889452
4.899999999999996e-05,101325.0,302.78830208104216,1.1659921405857692
4.9999999999999955e-05,101325.0,302.8454227843918,1.1657722188495974
5.099999999999995e-05,101325.0,302.90255216512026,1.1655523466680748
5.199999999999995e-05,101325.0,302.9596902240621,1.1653325240288503
5.2999999999999947e-05,101325.0,303.0168369620519,1.1651127509195758
5.3999999999999944e-05,101325.0,303.07399237992405,1.1648930273279074
5.499999999999994e-05,101325.0,303.1311564785129,1.1646733532415048
5.599999999999994e-05,101325.0,303.18832925865263,1.1644537286480308
5.6999999999999935e-05,101325.0,303.2455107211774,1.1642341535351521
5.799999999999993e-05,101325.0,303.3027008669213,1.164014627890539
5.899999999999993e-05,101325.0,303.3598996967183,1.1637951517018652
5.999999999999993e-05,101325.0,303.4171072114022,1.163575724956808
6.0999999999999924e-05,101325.0,303.4743234118068,1.1633563476430486
6.199999999999992e-05,101325.0,303.53154829876576,1.1631370197482713
6.299999999999992e-05,101325.0,303.5887818731127,1.1629177412601643
6.399999999999992e-05,101325.0,303.64602413568105,1.1626985121664188
6.499999999999991e-05,101325.0,303.70327508730423,1.162479332454731
6.599999999999991e-05,101325.0,303.7605347288155,1.1622602021127986
6.699999999999991e-05,101325.0,303.8178030610481,1.1620411211283246
6.79999999999999e-05,101325.0,303.87508008483513,1.1618220894890148
6.89999999999999e-05,101325.0,303.9323658010096,1.1616031071825785
6.99999999999999e-05,101325.0,303.9896602104044,1.1613841741967295
7.09999999999999e-05,101325.0,304.04696331385236,1.1611652905191836
7.19999999999999e-05,101325.0,304.10427511218626,1.1609464561376608
7.299999999999989e-05,101325.0,304.1615956062387,1.1607276710398855
7.399999999999989e-05,101325.0,304.21892479684215,1.1605089352135847
7.499999999999989e-05,101325.0,304.27626268482913,1.1602902486464892
7.599999999999988e-05,101325.0,304.33360927103195,1.1600716113263339
7.699999999999988e-05,101325.0,304.3909645562829,1.1598530232408557
7.799999999999988e-05,101325.0,304.44832854141407,1.1596344843777973
7.899999999999987e-05,101325.0,304.50570122725753,1.1594159947249028
7.999999999999987e-05,101325.0,304.5630826146453,1.1591975542699215
8.099999999999987e-05,101325.0,304.62047270440917,1.1589791630006054
8.199999999999987e-05,101325.0,304.677871497381,1.15876082090471
8.299999999999986e-05,101325.0,304.7352789943924,1.1585425279699944
8.399999999999986e-05,101325.0,304.79269519627496,1.1583242841842216
8.499999999999986e-05,101325.0,304.8501201038602,1.1581060895351583
